"STOCK.CODE","STOCK.NAME","CAT","ADVICE.TYPE","FISHERIES.GUILD","SPECIES.ID","SPECIES.NAME"
"tur-nsea","Turbot in Subarea IV",3,"PA","benthic","TUR","Scophthalmus maximus"
"usk-rock","Tusk in Division VIb (Rockall )",3,"PA","demersal","USK","Brosme brosme"
"whg-47d","Whiting Subarea IV (North Sea) and Division VIId (Eastern Channel)",1,"MP","demersal","WHG","Merlangius merlangus"
"whg-7e-k","Whiting in Division VIIe-k",1,"MSY","demersal","WHG","Merlangius merlangus"
"whg-iris","Whiting in Division VIIa (Irish Sea)",3,"PA","demersal","WHG","Merlangius merlangus"
"whg-rock","Whiting in Division VIb (Rockall)",6,"PA","demersal","WHG","Merlangius merlangus"
"whg-scow","Whiting in Division VIa (West of Scotland)",1,"PA","demersal","WHG","Merlangius merlangus"
"wit-nsea","Witch in Subarea IV, Division IIIa and VIId",3,"PA","benthic","WIT","Glyptocephalus cynoglossus"
"mur-347d","Striped red mullet in Subarea IV and Divisions VIId and IIIa",3,"PA","demersal","MUR","Mullus surmuletus"
"nop-34-oct","Norway Pout in Subarea IV (North Sea) and IIIa (Skagerrak - Kattegat) - Autumn assessment",1,"MSY","pelagic","NOP","Trisopterus esmarkii"
"syt-celt","Greater-spotted dogfish (Scyliorhinus stellaris) in Subareas VI and VII (Celtic Sea and West of Scotland)",NA,"PA","elasmobranch","SYT","Skyliorhinus stellaris"
"had-346a","Haddock in Subarea IV and Divisions IIIa West and VIa (North Sea, Skagerrak and West of Scotland) ",1,"MSY","demersal","HAD","Melanogrammus aeglefinus"
"ghl-grn","Greenland halibut in Subareas V, VI, XII and XIV",1,"MSY","benthic","GHL","Reinhardtius hippoglossoides"
"had-faro","Haddock in Division Vb",1,"PA","demersal","HAD","Melanogrammus aeglefinus"
"sai-faro","Saithe in Division Vb (Faroe Saithe)",1,"MSY","demersal","SAI","Pollachius virens"
"usk-icel","Tusk in Division Va and Subarea XIV",1,"MS","demersal","USK","Brosme brosme"
"had-iceg","Haddock in Division Va (Icelandic haddock)",1,"MP","demersal","HAD","Melanogrammus aeglefinus"
"her-vasu","Herring in Division Va (Icelandic summer-spawners)",1,"MSY","pelagic","HER","Clupea harengus"
"sai-icel","Saithe in Division Va (Icelandic saithe)",1,"MP","demersal","SAI","Pollachius virens"
"nep-oth-4","Norway lobster (Nephrops spp.) in Division IV, outside the Functional Units (North Sea)",5,"PA","crustacean","NEP","Nephrops norvegicus"
"her-47d3","Herring in Subarea IV and Divisions IIIa and VIId (North Sea autumn spawners) ",1,"MP","pelagic","HER","Clupea harengus"
"nep-33","Nephrops in Division IVb (Off Horn Reef, FU 33)",4,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-3-4","Nephrops in Division IIIa (Skagerak Kattegat, FU 3,4)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-5","Nephrops in Division IVbc (Botney Gut - Silver Pit, FU 5)",4,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-6","Nephrops in Division IVb (Farn Deeps, FU 6)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-8","Nephrops in Division IVb (Firth of Forth, FU 8)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-9","Nephrops in Division IVa (Moray Firth, FU 9)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"ple-eche","Plaice in Division VIId (Eastern Channel)",1,"MSY","benthic","PLE","Pleuronectes platessa"
"raj-347d","Other skates and rays in Subarea IV, and Divisions IIIa and VIId (North Sea, Skagerrak, Kattegat, and Eastern English Channel)",6,"PA","elasmobranch","RAJ","Rajidae"
"rng-kask","Roundnose grenadier (Coryphaenoides rupenstris) in Division IIIa ",6,"PA","demersal","RNG","Coryphaenoides rupestris"
"san-ns1","Sandeel in the Dogger Bank area (SA 1)",1,"MSY","demersal","SAN","Ammodytes spp"
"san-ns2","Sandeel in the South Eastern North Sea (SA 2)",1,"MSY","demersal","SAN","Ammodytes spp"
